,Open,High,Low,Close,Volume
2025-04-14,1205.4583833679583,1208.6473226567227,1189.2750224659753,1200.0,7105724
2025-04-15,1214.235603549231,1234.246981318199,1195.3436925556214,1211.353830137059,7025764
2025-04-16,1209.5754471797147,1223.8868690831034,1188.8129174259157,1208.9183510643572,4850171
2025-04-17,1225.044540701445,1234.5359438067862,1207.5084907792138,1223.677439134942,2910775
2025-04-18,1257.2754322955643,1273.244398754885,1235.7799310105638,1258.287094333888,7954878
2025-04-21,1250.4292588142584,1278.2880508263952,1231.8366073904215,1253.5916821465053,7895469
2025-04-22,1247.1153827825253,1264.3872968944615,1233.2721557126847,1248.9141603936855,7107031
2025-04-23,1288.851698628774,1298.30401179569,1267.9044140979327,1285.536991497617,4596874
2025-04-24,1297.7067195107777,1322.9491082921732,1295.8533585042633,1304.0392188684243,7927997
2025-04-25,1288.7149097843394,1304.8101962577325,1274.840409023866,1293.6817078053616,2558924
2025-04-28,1301.0662896854508,1315.022336078883,1292.242469523012,1307.0000353145538,5881185
2025-04-29,1290.8047263891144,1305.751066897402,1283.1235949311038,1296.7603732865607,6373656
2025-04-30,1291.1205590470095,1295.4511827302165,1261.0691419609336,1286.5473901802964,7004998
2025-05-01,1295.4112438044895,1302.1879387993486,1279.7899327327593,1292.7783989905781,6012595
2025-05-02,1249.2864532836322,1258.4594210230691,1227.9541265735322,1249.6091794860668,4290435
2025-05-05,1207.1096082801146,1229.694659101059,1205.2161419444858,1211.9837930743056,7166650
2025-05-06,1200.249780671193,1209.6269691813936,1179.0201216728628,1200.3504195494038,7109319
2025-05-07,1178.9137259714923,1191.2369872538218,1162.976059465595,1179.226553894726,7693075
2025-05-08,1182.603152828907,1208.3732818974283,1164.2699239113117,1186.4805490771726,7193278
2025-05-09,1167.0292975033663,1181.9431867170333,1161.9080164109912,1167.801779120424,2431413
2025-05-12,1137.8749183985951,1156.1316700084687,1124.8305964280603,1139.0309809179741,3352564
2025-05-13,1171.3929344621988,1178.911942686853,1157.08603750256,1170.037444934994,4424050
2025-05-14,1167.4221114778843,1175.039055661135,1143.7031972869713,1165.8471260317926,6165100
2025-05-15,1162.5110211294373,1174.3760703897647,1157.6019299488844,1167.821056647049,7145965
2025-05-16,1137.3667592496186,1147.374372650329,1119.604361362379,1138.7946641037115,2863561
2025-05-19,1129.647345161153,1138.583194591035,1120.8609532650362,1128.227359157852,2302186
2025-05-20,1131.056160468177,1139.6788299760574,1111.88053262206,1131.020688734784,5207393
2025-05-21,1112.3082433782436,1115.3735595566125,1089.3601730140103,1108.3570630443971,7489464
2025-05-22,1118.1809674312585,1124.011528579709,1094.6931768694797,1116.409296974159,5828464
2025-05-23,1101.205947451114,1118.091864735248,1090.6556972899846,1104.9302870535219,3026553
2025-05-26,1094.945278176262,1108.56941003103,1086.9913049660856,1099.6675945017626,3235202
2025-05-27,1089.8898088771475,1099.7282430341338,1067.6457070368642,1088.3398031850195,2145271
2025-05-28,1120.4433829385096,1139.903673065683,1116.354348651059,1125.7737945244694,4215685
2025-05-29,1127.0022653818612,1143.32772874168,1111.171969013355,1126.0364011134554,7162756
2025-05-30,1110.193019208869,1111.5054620740993,1091.9148357523322,1105.3270353326886,5743797
2025-06-02,1123.1954538217774,1141.4183668492697,1107.3217434666446,1122.3483706161514,3514542
2025-06-03,1097.2481109114965,1114.3149284159358,1083.1104395691302,1098.4765380345848,6180656
2025-06-04,1104.719930413497,1110.0078320996568,1090.3368949113799,1103.1392618182995,4930184
2025-06-05,1064.9677953566086,1084.700461943863,1046.5852464753136,1065.4125743107231,2076898
2025-06-06,1041.2136702135767,1060.3184293200054,1022.7642354498423,1040.7389185337802,5295097
2025-06-09,1049.5437902678966,1051.1127761144555,1037.5397677171593,1044.9307885603318,2288316
2025-06-10,1058.2108644507132,1069.114536059321,1053.2641321410174,1059.417513052757,4008954
2025-06-11,1068.0999945607207,1081.3698724601309,1047.8862174951257,1063.1966320189558,3829553
2025-06-12,1065.7938229002068,1078.7125819778419,1044.5721365841578,1061.4910620658168,6088657
2025-06-13,1053.0431187286924,1064.461148347744,1045.334646331462,1056.256344166999,5041341
2025-06-16,1024.5751249885527,1037.3827839762153,1014.7351476949767,1029.0064248705262,3039504
2025-06-17,1012.186138411427,1026.9717672245913,996.3053214193145,1016.2432048446741,6087810
2025-06-18,1003.4739836344975,1020.7019660016932,990.5270732457267,1008.3319066859017,7927071
2025-06-19,1024.0219500508426,1042.8680815674836,1018.6703696099711,1028.191854493676,4105058
2025-06-20,1036.958068867546,1045.9668885870847,1024.5929804111004,1035.0638319459022,6988023
2025-06-23,998.907828884305,1015.1860442619119,983.5532563037352,1003.2097059833102,6909384
2025-06-24,1007.7321232931864,1025.9267184191006,992.7298910262886,1009.5596723268244,3675843
2025-06-25,1006.5229795910475,1008.6309127920928,986.4791284289618,1003.0636606720831,2034701
2025-06-26,986.6616461838437,1000.098753609537,981.5517077230181,991.3878703876927,5229028
2025-06-27,1005.9945820421959,1018.5858108865742,983.0806420365645,1002.8409632821822,3721610
2025-06-30,1019.8823547551608,1040.9476289427848,1003.2659620387386,1022.1120433742478,4180712
2025-07-01,1035.914580968442,1053.0659418732973,1031.5648377714112,1039.8852285233108,4339767
2025-07-02,1026.7988641855293,1038.0861600554497,1007.0316232749237,1024.7827356802109,4614235
2025-07-03,1020.8948948179475,1026.3171770955614,1009.1715199716194,1019.5802190582893,2491036
2025-07-04,1030.0398992647547,1038.1840334247831,1009.3093076301717,1026.1664082613524,2327304
2025-07-07,1047.29838264833,1058.413987778668,1025.5039243631907,1044.8422610392013,4462616
2025-07-08,1039.5076581225978,1045.3136181005173,1019.4154637480722,1036.3624955788557,4710241
2025-07-09,1031.1444248906607,1042.7373838587955,1023.9247611760808,1033.3968728014972,5433803
2025-07-10,1010.2346732795387,1024.3070392535622,1006.242533950398,1013.5038358763514,3142953
2025-07-11,994.8741375921282,997.6477805064155,984.8978196921421,992.3870692033283,5961352
2025-07-14,1010.5788119348753,1017.3922887256734,993.3401020761642,1007.4874903207993,5978702
2025-07-15,1037.9433114917406,1041.3173784322971,1022.5702033192166,1032.8769967123246,6059175
2025-07-16,1031.1285811539406,1042.2603535705346,1014.5630357660764,1032.0303932865745,2326916
2025-07-17,1049.9969520051884,1058.4878578880282,1034.9386105586668,1051.3424802362686,5597706
2025-07-18,1061.6389098823163,1078.148239135922,1051.7726704250215,1058.7124913392602,6506554
2025-07-21,1045.3213402967126,1061.5453124412998,1026.252539022626,1046.9881082990967,2605409
2025-07-22,1058.8646058887086,1070.3345455973117,1034.588875751107,1054.323032192016,3074135
2025-07-23,1088.3224280381673,1102.6949323051351,1066.1285479199644,1084.4356723030985,4989179
2025-07-24,1083.4828828192933,1097.7805908784478,1062.9992259333887,1084.2527670422448,7050405
2025-07-25,1118.5535765524992,1122.787969254486,1096.47594293782,1115.7544713961763,3725690
2025-07-28,1067.5793599927663,1078.7723764533127,1052.8843776848016,1064.8688123126742,5280772
2025-07-29,1076.9633721578364,1096.178756699627,1066.4645299581578,1081.25461363647,7809041
2025-07-30,1087.8274392343724,1100.9981192137543,1076.304287976785,1083.4659156978482,6157893
2025-07-31,1078.2201413780233,1090.535323362499,1069.8203092938884,1078.1635122147648,7087268
2025-08-01,1083.9874050953508,1087.9301445584097,1064.3907594519055,1080.4601622274397,2403119
2025-08-04,1041.1083340396606,1052.6397270062175,1026.1841082346536,1042.985190050348,7329868
2025-08-05,1043.4750151724982,1050.2215297188063,1024.4963868047296,1039.3640887727543,6166769
2025-08-06,1045.4053368050431,1061.9376525493194,1034.9003445253607,1046.5649131597813,6320295
2025-08-07,1070.0313492903276,1089.8740195792168,1058.1091413193815,1075.2912693167448,2402732
2025-08-08,1070.1346961509944,1076.8361419203713,1054.476196808294,1065.8140779767375,2506079
2025-08-11,1046.6208086113613,1071.7217932220906,1036.3515807420338,1050.9160424928214,3950013
2025-08-12,1040.0806632608078,1056.6410930704567,1029.7522758949128,1041.963348933637,4623836
2025-08-13,1064.5484511335387,1068.848802648855,1045.5161787473023,1059.778789865483,3132658
2025-08-14,1071.382486020252,1073.5376803160216,1049.9559416496659,1066.5764164601321,3985209
2025-08-15,1057.7336193202914,1064.6656831816254,1050.8553851687286,1056.9574121184692,6322626
2025-08-18,1068.682864979349,1076.5497482760045,1058.154952107729,1067.2757983206802,2656951
2025-08-19,1069.1001653662481,1077.577973133251,1050.5066705802524,1069.6516186749066,2011303
2025-08-20,1086.7317226803798,1097.476068137521,1081.3901620909976,1088.9836235117743,3210209
2025-08-21,1073.9776829661794,1085.8007207127,1062.1703571507476,1075.8209456744564,5479591
2025-08-22,1071.8498746131027,1078.1365963713752,1062.9614578086046,1070.003920369717,7492570
2025-08-25,1065.6672428424247,1082.5981800570878,1054.4783563748292,1062.9845406100649,7203916
2025-08-26,1038.8611086387716,1042.266658794703,1021.7308001593555,1035.8408138990828,4366610
2025-08-27,1044.8902213215667,1055.279244607652,1021.3864657903121,1041.8727687584067,6180303
2025-08-28,1042.9974184532641,1058.9620201211926,1030.553757834559,1047.2786295750423,3068199
2025-08-29,1047.8154284724865,1068.5543997654174,1035.4298840362378,1047.8738966430203,6917339
2025-09-01,1039.336619770524,1050.929741456764,1032.99624544784,1043.9555094715045,6176224
2025-09-02,1018.6839574525479,1029.3468899719321,1001.754711111089,1018.1796644447011,6684346
2025-09-03,1010.3897008918575,1030.7374605381594,992.8744947430869,1010.9808163063632,2458298
2025-09-04,1009.1393506723466,1023.318856899957,997.7267496732237,1005.2419854479226,3047343
2025-09-05,989.8236642883136,1008.4075259120049,986.1131062077204,991.3015460738488,7719720
2025-09-08,985.1118025482245,997.6687109042875,976.9184635629026,988.8986215442101,2105228
2025-09-09,993.0335550950816,1004.129003562609,979.226051823126,996.5914695372816,6620650
2025-09-10,1034.1965828616283,1047.0021717804095,1015.0823924261271,1031.4991030411054,3755692
2025-09-11,1036.4622768363536,1054.8465164038073,1014.8192502730975,1035.2384380042397,2884056
2025-09-12,1036.3937331769646,1054.4369955102889,1034.0038687745373,1040.54422814796,3730228
2025-09-15,1035.3219407554295,1053.7581060877733,1020.6891327691899,1039.645756698051,3946793
